Lexeme          CurrentNode          LineNo     TokenName            ValueIfNumber        ParentNode           Leaf       NodeSymbol          
---------------------------------------------------------------------------------------------------------------
                global_or_not        -1         global_or_not                             declaration          yes        global_or_not       
;               TK_SEM               29         TK_SEM                                    declaration          yes        TK_SEM              
----            declarations         -1         declarations                              declarations         no         declarations        
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             declarations         yes        UNKNOWN_TOKEN       
----            otherStmts           -1         otherStmts                                stmts                no         otherStmts          
----            stmt                 -1         stmt                                      otherStmts           no         stmt                
----            funCallStmt          -1         funCallStmt                               stmt                 no         funCallStmt         
----            outputParameters     -1         outputParameters                          funCallStmt          no         outputParameters    
[               TK_SQL               31         TK_SQL                                    outputParameters     yes        TK_SQL              
----            idList               -1         idList                                    outputParameters     no         idList              
c3              TK_ID                31         TK_ID                                     idList               yes        TK_ID               
----            more_ids             -1         more_ids                                  idList               no         more_ids            
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             more_ids             yes        UNKNOWN_TOKEN       
]               TK_SQR               31         TK_SQR                                    outputParameters     yes        TK_SQR              
<---            TK_ASSIGNOP          31         TK_ASSIGNOP                               outputParameters     yes        TK_ASSIGNOP         
call            TK_CALL              31         TK_CALL                                   funCallStmt          yes        TK_CALL             
_computeFunctionValue TK_FUNID             31         TK_FUNID                                  funCallStmt          yes        TK_FUNID            
with            TK_WITH              31         TK_WITH                                   funCallStmt          yes        TK_WITH             
parameters      TK_PARAMETERS        31         TK_PARAMETERS                             funCallStmt          yes        TK_PARAMETERS       
----            inputParameters      -1         inputParameters                           funCallStmt          no         inputParameters     
[               TK_SQL               31         TK_SQL                                    inputParameters      yes        TK_SQL              
----            idList               -1         idList                                    inputParameters      no         idList              
b5              TK_ID                31         TK_ID                                     idList               yes        TK_ID               
----            more_ids             -1         more_ids                                  idList               no         more_ids            
,               TK_COMMA             31         TK_COMMA                                  more_ids             yes        TK_COMMA            
----            idList               -1         idList                                    more_ids             no         idList              
d5cb34567       TK_ID                31         TK_ID                                     idList               yes        TK_ID               
----            more_ids             -1         more_ids                                  idList               no         more_ids            
,               TK_COMMA             31         TK_COMMA                                  more_ids             yes        TK_COMMA            
----            idList               -1         idList                                    more_ids             no         idList              
b3b444          TK_ID                31         TK_ID                                     idList               yes        TK_ID               
----            more_ids             -1         more_ids                                  idList               no         more_ids            
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             more_ids             yes        UNKNOWN_TOKEN       
]               TK_SQR               31         TK_SQR                                    inputParameters      yes        TK_SQR              
;               TK_SEM               31         TK_SEM                                    funCallStmt          yes        TK_SEM              
----            otherStmts           -1         otherStmts                                otherStmts           no         otherStmts          
----            stmt                 -1         stmt                                      otherStmts           no         stmt                
----            ioStmt               -1         ioStmt                                    stmt                 no         ioStmt              
write           TK_WRITE             32         TK_WRITE                                  ioStmt               yes        TK_WRITE            
(               TK_OP                32         TK_OP                                     ioStmt               yes        TK_OP               
----            var                  -1         var                                       ioStmt               no         var                 
----            singleOrRecId        -1         singleOrRecId                             var                  no         singleOrRecId       
c3              TK_ID                32         TK_ID                                     singleOrRecId        yes        TK_ID               
----            option_single_constructed -1         option_single_constructed                      singleOrRecId        no         option_single_constructed
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             option_single_constructed yes        UNKNOWN_TOKEN       
)               TK_CL                32         TK_CL                                     ioStmt               yes        TK_CL               
;               TK_SEM               32         TK_SEM                                    ioStmt               yes        TK_SEM              
----            otherStmts           -1         otherStmts                                otherStmts           no         otherStmts          
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             otherStmts           yes        UNKNOWN_TOKEN       
----            returnStmt           -1         returnStmt                                stmts                no         returnStmt          
return          TK_RETURN            33         TK_RETURN                                 returnStmt           yes        TK_RETURN           
----            optionalReturn       -1         optionalReturn                            returnStmt           no         optionalReturn      
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             optionalReturn       yes        UNKNOWN_TOKEN       
;               TK_SEM               33         TK_SEM                                    returnStmt           yes        TK_SEM              
end             TK_END               34         TK_END                                    mainFunction         yes        TK_END              
